05/08/2025-14:48:21;1T_frame_0000.jpg;top;2;MGD;1;101.8028550508849;149.56174153555844;537.1252000067598;0.0004734503554884818;0.9053963631940245;0.21678369018837876;2856.1165708358726;1223875.0;13195108.5;-80681.46535824204;83908.0;149.34604;1972.8092;[[129, 249], [380, 298]]
05/08/2025-14:48:21;1T_frame_0000.jpg;bottom;2;MGD;1;24.95160401088158;13.047619561913436;75.11636761145478;0.005270735733608816;0.836048071262285;0.5573255962614276;3935.1886511538396;63950.5;12658911.5;-38331.70491517871;7207.5;5.787274;146.70493;[[397, 381], [563, 413]]
05/08/2025-15:03:38;1T_frame_0000.jpg;top;2;MGD;1;62.80499656757729;116.56170765465839;1236.0202851006154;0.0005502838434924942;0.9745736589252535;0.24876592634733474;3100.009555022717;721061.5;13901643.0;-78896.47775434956;62830.0;113.63979;5015.091;[[70, 299], [238, 369]]
05/08/2025-15:03:38;1T_frame_0000.jpg;bottom;2;MGD;1;64.73265994782277;110.26827451057463;744.439592535089;0.0005994257906023696;0.9565272139350521;0.2620081811474692;1775.5460564677855;399311.75;4264161.5;-38775.84790267071;33427.75;109.84148;2908.221;[[381, 425], [532, 467]]
05/08/2025-15:35:02;1T_frame_0000.jpg;top;2;MGD;1;93.2511150564576;136.69670680617372;609.9591628565145;0.0004868667292345498;0.9233681556593988;0.22479078751657072;3452.4371831147205;1332422.75;18973932.0;-98445.63196956721;94910.75;135.76227;2437.3462;[[168, 254], [379, 323]]
05/08/2025-15:35:02;1T_frame_0000.jpg;bottom;2;MGD;1;19.070881673084482;9.765580892525445;36.568644109366176;0.006470877233115572;0.7407059443121076;0.5763521495098234;5838.806578091983;69413.25;28144665.0;-59341.64430462436;8988.25;4.3772154;79.312645;[[459, 362], [617, 411]]
05/08/2025-15:59:33;1T_frame_0000.jpg;top;2;MGD;1;92.60008274054027;147.96235937747684;705.9181942077348;0.0004658705877641304;0.9343625464020272;0.21985179109577654;3629.3008221601613;1433999.0;21335276.5;-107374.6474197169;103037.0;147.00012;2778.0024;[[245, 227], [430, 312]]
05/08/2025-15:59:33;1T_frame_0000.jpg;bottom;2;MGD;1;64.28180779492155;72.90184870555268;1450.5210238473255;0.0006697435270817051;0.9779259420063416;0.3657964308517344;5801.268582931239;467546.0;27239104.5;-78719.06455663311;37064.0;48.98059;4920.225;[[490, 366], [645, 437]]
05/08/2025-16:03:28;1T_frame_0003.jpg;top;2;MGD;1;35.56869874213015;110.15592972359048;433.49587078292916;0.0009476885860253117;0.9588912654849692;0.31174370805211743;7243.419740185848;792932.0;68175874.0;-172819.2282151383;89397.5;109.62849;1728.0116;[[309, 212], [578, 296]]
05/08/2025-16:03:28;1T_frame_0003.jpg;bottom;2;MGD;1;23.279189302425074;51.039075374176896;278.84976242059304;0.0016317749417200465;0.9580554842897181;0.3588394032337915;10782.315289767603;453222.0;104649386.5;-190527.0431315187;64291.5;40.99423;1274.6709;[[393, 373], [670, 459]]
05/08/2025-16:06:16;1T_frame_0003.jpg;top;2;MGD;1;40.97332894392311;113.5254036469571;486.9066189707577;0.0008241793323060102;0.957824269796471;0.3043089307364511;4722.979715586053;600472.0;28846421.5;-107320.27631999538;63037.0;112.17506;1967.3285;[[264, 237], [509, 298]]
05/08/2025-16:06:16;1T_frame_0003.jpg;bottom;2;MGD;1;27.62908151083008;52.83307705214798;354.0682024141063;0.0015473713744777481;0.9608464213529765;0.3517407864423968;3969.7795136493132;167844.5;13240895.0;-56688.79351949101;21524.0;39.75665;1550.8029;[[408, 357], [641, 392]]
